Edad,Genero,Promedio_calificaciones_semestre_anterior,Asignaturas_reprobadas,Asignaturas_aprobadas,Numero_semestres_matriculado,Asistencia,Distancia_universidad,Trabaja,Frecuencia_consumo_alcohol,Consumo_tabaco,bica,trica,Desercion
0.5,1,0.3918529510660015,0.5,0.4000000000000001,0.8888888888888888,0.646271963384596,0.8679796267309028,0,1,0,1,0,1
0.25,0,0.2733353597478911,0.0,0.8,0.1111111111111111,0.045423261338632975,0.583105757279898,0,2,1,1,0,1
1.0,1,0.4775822254015163,0.75,0.6000000000000001,0.2222222222222222,0.9471020930144443,0.7180141781270016,1,1,1,0,1,1
0.833333333333333,0,0.04415861747974527,0.5,0.2,0.7777777777777777,0.8431474982851634,0.3720435678122074,0,1,1,0,0,1
0.583333333333333,0,0.8540748071232597,0.0,0.8,0.0,0.29681110145254946,0.0924495170370666,1,0,1,0,0,0
1.0,0,0.035181052327006475,1.0,0.2,1.0,0.0770710197427965,0.4579002951270714,1,1,1,0,0,1
0.33333333333333326,1,0.3295731197203123,1.0,0.6000000000000001,0.6666666666666665,0.16990369429700392,0.39447939083885747,1,2,1,0,0,1
0.5,0,0.9336770928973116,1.0,0.4000000000000001,0.6666666666666665,0.12689936221696105,0.8670601823789473,1,1,0,0,0,0
0.75,0,0.7367899234097453,1.0,0.2,0.0,0.12323347049681166,0.24399530235247224,1,1,0,0,0,0
0.16666666666666652,0,0.2817888571124,0.25,0.0,0.8888888888888888,0.5190790629788363,0.9667342275351081,0,1,0,0,0,1
0.5,1,0.25297229736568533,0.75,0.0,0.7777777777777777,0.24597315496765929,0.958138119804496,1,1,0,0,0,1
0.833333333333333,1,0.004761976841852864,0.75,0.8,0.3333333333333333,0.3584266989009392,0.24763164307143867,1,1,0,0,0,1
0.833333333333333,1,0.6971889150880183,0.25,0.6000000000000001,1.0,0.9906990590669295,0.34805195547732054,0,0,0,0,0,0
0.583333333333333,1,0.048576988129507684,0.5,0.8,0.4444444444444445,0.6850696707678867,0.895555740873885,1,2,0,1,0,1
0.33333333333333326,1,0.5336532537589157,0.5,0.8,0.1111111111111111,0.9501161927435097,0.9666222208961075,1,0,0,0,0,0
0.25,0,0.964288923680801,1.0,1.0000000000000002,0.8888888888888888,0.1425339250592397,0.44343910283604404,0,2,1,1,0,1
0.583333333333333,1,0.10941997280913392,0.0,0.8,0.5555555555555556,0.38246092474539223,0.3209970456408978,0,2,1,0,0,1
0.583333333333333,1,0.8964710968205701,0.5,1.0000000000000002,0.2222222222222222,0.5553011237398212,0.526094013251542,1,2,1,0,0,0
0.16666666666666652,1,0.9937185684932814,0.0,0.0,0.6666666666666665,0.07664093461895713,0.6877692063657348,0,2,1,0,1,1
0.4166666666666665,0,0.06134352382510329,0.75,0.0,0.8888888888888888,0.003966093193480037,0.27347451537497974,1,2,1,0,0,1
